MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288689;318584
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288685;318584
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288688;318584
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288684;318584
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288686;318584
COMB;;Lithuania;MRLT;K23;2007;09/08/2007;55.71833333;21.06166667;;;;12;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.08;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288687;318584
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.13;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288729;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288730;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288727;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288726;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288728;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288731;318591
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288742;318593
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288743;318593
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288738;318593
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288740;318593
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288739;318593
COMB;;Lithuania;MRLT;K41;2007;21/11/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.55;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288741;318593
COMB;;Lithuania;MRLT;K32;2007;22/11/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.4;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288783;318600
COMB;;Lithuania;MRLT;K32;2007;22/11/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288782;318600
