MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM253;2005;14/02/2005;55.83866667;18.866;;;;5.5;;BF;;I-MET;CU;W;;28210;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310698;319945
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;5.5;;BF;;I-MET;CU;W;;26190;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310710;319972
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;5.5;;BF;;I-MET;CU;W;;26190;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310709;319972
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;5.5;;AF;;I-MET;CU;W;;0.464;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318372;319972
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;5.5;;AF;;I-MET;CU;W;;0.464;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318371;319972
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;50.5;;AF;;I-MET;CU;W;;0.444;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318370;319977
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;50.5;;BF;;I-MET;CU;W;;29630;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310713;319977
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;50.5;;BF;;I-MET;CU;W;;29630;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310714;319977
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OM263;2005;14/02/2005;56.34716667;19.37866667;;;;50.5;;AF;;I-MET;CU;W;;0.444;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318369;319977
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;30.5;;BF;;I-MET;CU;W;;33910;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310740;320029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;30.5;;BF;;I-MET;CU;W;;33910;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310739;320029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;30.5;;AF;;I-MET;CU;W;;0.452;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318355;320029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;30.5;;AF;;I-MET;CU;W;;0.452;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318356;320029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;65.5;;AF;;I-MET;CU;W;;0.29;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318346;320036
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;65.5;;BF;;I-MET;CU;W;;37210;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310757;320036
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;65.5;;BF;;I-MET;CU;W;;37210;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310758;320036
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;65.5;;AF;;I-MET;CU;W;;0.29;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318345;320036
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;95.5;;BF;;I-MET;CU;W;;103640;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310794;320045
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;95.5;;BF;;I-MET;CU;W;;103640;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310793;320045
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPJ1;2005;15/02/2005;57.33133333;20.04333333;;;;95.5;;AF;;I-MET;CU;W;;0.325;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318326;320045
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
