Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Pb;SM_VG1-2_20;VG;SM;64.2616;4.5005;54.721;73.8023;97.6316;1.5676;94.3085;100.9547;123.5098;5.7486;111.3235;135.6962;34.58530832;2.422149154;29.45059968;39.72007078;52.44493232;0.842070353;50.65985705;54.23000759;66.29494496;3.085610377;59.75384387;72.83609973;1.921984513
Zn;SM_VG1-2_20;VG;SM;10.49479;0.34102;9.7856;11.20399;14.66076;0.16213;14.3236;14.99792;20.48042;0.60364;19.22508;21.73577;7.065085277;0.229574425;6.587659066;7.54251822;8.716059188;0.09638891;8.515612109;8.916506267;11.02239045;0.32487399;10.34677698;11.6980093;1.951484498
Ag;SM_VG1-2_22;VG;SM;34.1839;5.6461;22.4421;45.9257;103.8441;5.1445;93.1454;114.5428;193.937;17.313;157.933;229.941;0.008652812;0.001429171;0.005680665;0.011624959;0.026081794;0.001292108;0.023394676;0.028768911;0.048623037;0.00434064;0.039596272;0.057649803;5.673343299
Cd;SM_VG1-2_22;VG;SM;7.69009;0.35966;6.94214;8.43804;15.18494;0.42705;14.29684;16.07303;50.936;5.8599;38.7497;63.1223;5.325131831;0.249052601;4.807201306;5.843062356;10.39090095;0.292225998;9.783183093;10.99861196;34.5550424;3.975363063;26.28784213;42.82224267;6.623589581
Co;SM_VG1-2_22;VG;SM;11.7892;1.167;9.3623;14.2161;44.6778;1.5004;41.5575;47.7981;169.317;15.817;136.424;202.21;7.57901116;0.750238016;6.018811809;9.139210511;28.37447294;0.952890679;26.3927982;30.35614768;107.1838391;10.01273814;86.36136989;128.0063083;14.36204323
Cu;SM_VG1-2_22;VG;SM;2.662074;0.097865;2.458552;2.865596;3.43836;0.03599;3.36352;3.51321;3.97032;0.08363;3.79641;4.14424;9.724567545;0.357501258;8.981100821;10.46803427;12.1640463;0.127323499;11.89928135;12.42884663;13.8357306;0.29143297;13.22969081;14.44180524;1.49143863
Ni;SM_VG1-2_22;VG;SM;4.67163;0.53728;3.55429;5.78897;9.58851;0.33099;8.90018;10.27683;19.6804;2.4485;14.5885;24.7723;2.692756376;0.309691509;2.048714701;3.336798051;5.324270552;0.18379084;4.942057346;5.706478205;10.72545008;1.334386726;7.950459772;13.50044039;4.212748013
Pb;SM_VG1-2_22;VG;SM;67.3368;5.0304;56.6728;78.0009;125.1912;2.4726;119.9496;130.4329;177.41;10.791;154.534;200.285;36.23115536;2.706650805;30.4932967;41.96906782;67.19483024;1.327137508;64.38146618;70.00824797;95.142332;5.787052052;82.87427503;107.4098527;2.634666334
Zn;SM_VG1-2_22;VG;SM;10.85496;0.23212;10.37223;11.33768;13.9501;0.12261;13.69513;14.20508;17.92778;0.40698;17.08142;18.77415;7.207820648;0.1541304;6.887282271;7.528352385;8.43442463;0.074131713;8.280266219;8.588589087;10.01077921;0.227255518;9.538176187;10.48338782;1.651574948
Ag;TB_GP2-4_11;GP;TB;17.965;17.817;-19.088;55.018;420.26;289.68;-182.15;1022.68;2472.7;3752.4;-5330.7;10276.2;0.004594843;0.00455699;-0.004882069;0.014071755;0.105249052;0.072546865;-0.045617272;0.256117881;0.61876954;0.939002233;-1.333956722;2.571520826;137.6398553
Cd;TB_GP2-4_11;GP;TB;4.33963;0.56324;3.16831;5.51094;4.723223;0.049015;4.62129;4.825156;5.4913;1.1572;3.0847;7.8979;3.060555917;0.397229145;2.234473888;3.886630894;3.319826426;0.034451325;3.248180461;3.39147239;3.83896967;0.808998908;2.156514804;5.521424536;1.265384376
Co;TB_GP2-4_11;GP;TB;14.9778;3.9823;6.6962;23.2593;32.1288;4.7755;22.1976;42.0599;68.919;17.774;31.956;105.883;9.59516294;2.551163547;4.289757513;14.9005043;20.43974024;3.038083573;14.12169698;26.75771988;43.7021837;11.27065995;20.26359904;67.14140247;4.601410087
Cu;TB_GP2-4_11;GP;TB;1.642597;0.063268;1.511024;1.774171;2.1075;0.02386;2.05788;2.15712;2.424463;0.042421;2.336243;2.512683;6.520861073;0.251164369;5.998536209;7.043189906;7.98181875;0.090365929;7.793890946;8.169746554;8.977874978;0.157086511;8.651193098;9.304556857;1.475993807
Ni;TB_GP2-4_11;GP;TB;0.940586;0.437874;0.029978;1.851194;6.40765;0.91241;4.51019;8.30512;43.6515;16.5444;9.2456;78.0574;0.695901627;0.323965304;0.022179513;1.369623742;3.62187428;0.51573265;2.549349786;4.694404426;23.5547828;8.927522503;4.989017556;42.12054804;46.40883449
Pb;TB_GP2-4_11;GP;TB;28.5354;5.6831;16.4877;40.583;56.5866;2.6431;50.9834;62.1897;83.15;10.128;61.679;104.621;15.46464608;3.079933351;8.935443175;21.99379479;30.47764832;1.423578591;27.45975435;33.49548843;44.69438;5.443952864;33.15339343;56.23536657;2.913924459
